gene,logp
o1355,0.608551225896452
o1356,0
o1357,0
o1358,0
o1359,0
o135,0
o1360,0.000490325370224347
o1361,0
o1362,0
o1363,0
o1364,0
o1365,0
o1366,9.85129683850109
o1367,0
o1368,0
o1369,2.4070414959163
o136,0
o1370,0
o1372,0
o1374,0
o1375,0
o1376,0
o1377,0
o1378,0
o1379,0
o137,0
o1380,0
o1381,0
o1382,0.283561377263597
o1383,0
o1384,0.51743606627245
o1385,0
o1386,0.0256411133515651
o1388,0
o1389,0
o138,0
o1390,0
o1391,0
o1392,0
o1394,0
o1395,0
o1396,0
o1397,0.496118395712064
o1399,0
o139,0
o13,3.52799379603092
o1400,0
o1401,0.272911725224054
o1402,0
o1403,0.845184032806799
o1405,0.0140021714497164
o1406,0
o1407,0
o1408,0.733738797947736
o1409,0
o140,0
o1410,0
o1411,0
o1412,0
o1413,0
o1414,0
o1415,0
o1416,0
o1417,0.333423345979056
o1418,0
o1419,0.323578182933786
o141,0.0532827773680249
o1420,0
o1421,0
o1422,0
o1424,0
o1425,0
o1426,0.44721976293165
o1427,0
o1428,0
o142,0
o1430,0
o1431,0
o1432,0
o1433,2.85534393199918
o1434,0
o1435,0
o1436,0
o1437,0
o1438,0
o1439,0
o143,0.502175585072928
o1440,0
o1441,0
o1442,0
o1443,0
o1444,0
o1445,0.000490325370224347
o1446,0
o1447,0
o1448,0
o1449,0
o144,0
o1450,0
o1451,0.21613168079167
o1453,0
o1454,0
o1455,0
o1456,0
o1457,0
o1458,0
o1459,0.0221595959147187
o145,0.275949076163284
o1460,0
o1461,0.0253335284878896
o1462,0
o1463,0
o1464,0
o1465,0
o1466,0
o1467,0
o1468,0
o1469,0
o146,0.55621507045125
o1470,0
o1472,0
o1473,0
o1474,0
o1475,0
o1476,0
o1477,0
o1478,0.0020840812231177
o1479,0
o147,0
o1480,0.000849619171191163
o1481,0.00886895291503598
o1482,0
o1483,0
o1484,0
o1485,0
o1486,0
o1487,0.00770645882228477
o1488,0
o1489,0
o148,0
o1490,0
o1491,0
o1492,0.456067770193155
o1493,0
o1494,0
o1496,0
o1497,0
o1498,0
o1499,0
o149,0
o14,0
o1500,0.142854578912888
o1501,0
o1502,0.000490325370224347
o1503,0
o1504,0.0328751092142383
o1505,0
o1506,0
o1508,0
o1509,0
o1510,0
o1511,0
o1512,0
o1513,0
o1514,3.30806926626031
o1515,0
o1516,0
o1517,0
o1518,0
o1519,0
o151,0
o1520,0.0223107960962651
o1521,0
o1522,0
o1524,0
o1526,0.457460428964031
o1527,0
o1528,0
o1529,0.00120202915804565
o152,0
o1530,0.242625187985403
o1531,0
o1532,0
o1533,0.93322604779189
o1534,0
o1535,0
o1536,0.351877693285985
o1537,0
o1538,0
o153,0
o1540,0.469596757524888
o1541,0.366665603634093
o1542,3.1121012986215
o1543,0.000490325370224347
o1544,0.0148328047325884
o1545,2.38167545431164
o1546,0
o1547,0
o1548,0
o1549,0
o154,0
