gene,logp
o1299,0.635929136209234
o129,0
o12,0
o1300,0
o1301,0
o1302,0
o1303,0
o1304,0
o1305,0
o1306,0
o1307,0.364885564286122
o1308,0
o1309,0.290484630048871
o1311,0
o1312,0
o1313,0.00278099034262127
o1314,0.0294020462322669
o1315,0
o1316,0
o1317,0
o1318,0
o1319,0.00333640498814997
o131,0
o1320,0
o1321,0.292997698756308
o1322,0
o1323,0
o1324,0
o1325,0
o1326,0
o1327,0.310501708402202
o1329,0.031358848494347
o132,0
o1330,0
o1331,0
o1332,0
o1333,0
o1334,0.447821578072252
o1336,0
o1337,0
o1338,0
o1339,0
o1340,0
o1341,0
o1342,0
o1344,0.241474210361203
o1345,0
o1346,0
o1347,0.00190210081759862
o1348,0.000693586810146689
o1349,0
o134,0
o1350,0
o1351,0
o1352,0
o1353,0
o1354,0
o1355,0.0853134533857002
o1356,0
o1357,10.6521060646601
o1358,0
o1359,0
o135,0
o1360,0
o1361,0
o1362,0.376850766889376
o1363,0.0705813080942253
o1364,0.223857440966914
o1365,0
o1366,0
o1367,0
o1369,0.000490325370224347
o136,0
o1370,0.147783695529793
o1371,0
o1372,0
o1373,0
o1374,0
o1375,0
o1377,0
o1378,0
o1379,0
o137,0
o1380,0
o1381,0
o1382,0
o1383,0
o1384,0
o1385,0
o1386,0.0232546190870777
o1387,0
o1388,0
o138,0.204152001124867
o1390,0
o1391,0
o1392,0
o1393,0
o1394,0
o1395,0
o1396,0
o1397,0
o1398,14.6841936851279
o1399,0.521904631698902
o139,0
o13,0
o1400,0
o1401,0
o1402,0
o1403,0
o1404,0
o1405,0
o1406,1.59879618659573
o1408,0
o140,3.38018546008779
o1410,0
o1411,0
o1412,0
o1413,0
o1414,0
o1415,0
o1416,0
o1417,0.330994096010333
o1418,0
o1419,0.989245119887303
o141,0
o1420,0
o1421,4.42589112903617
o1422,0
o1423,1.38962822487429
o1424,0
o1425,0
o1426,0
o1427,0
o1428,0
o1429,0.147377422058799
o142,0
o1430,0
o1431,0
o1432,0
o1433,4.06988205448615
o1434,0
o1435,0.0760135871887433
o1436,0
o1437,0
o1438,0
o1439,0
o143,0.115039323590581
o1440,0.0295232986473135
o1441,0
o1442,0.0162338186652488
o1444,0
o1446,0.396359586982591
o1447,0
o1448,0
o1449,0
o1450,0
o1451,0
o1452,2.79656328828554
o1453,0
o1454,0.365307334639963
o1455,0
o1456,0
o1457,0
o1458,0
o1459,4.22613408497271
o145,0
o1460,0
o1461,0.0353086054437447
o1462,0
o1463,0
o1464,0
o1465,0
o1466,0
o1467,0
o1468,0
o146,0
o1470,0
o1471,0
o1472,0
o1473,0.0214609624665666
o1474,0
o1475,7.88330172376949
o1476,0
o1477,0
o1478,0.000490325370224347
o1479,0
o147,0
o1480,0.0017704925771575
o1481,0
o1482,0
o1483,0
o1484,0.312475995009671
o1485,0
o1487,0.000490325370224347
o1488,0
o148,0
o1490,0
o1491,0
o1492,0
o1493,0
o1494,0
o1495,0.0511207822007818
o1496,0.185452108268246
o1497,0.233117475423267
o1498,0
o1499,0.00155243673053699
o149,0
o14,0
o1500,0
o1501,0
o1502,0
o1503,0
o1504,0
o1505,0
o1506,0
o1507,7.51388130662135
o1508,0
o1509,0.00120202915804565
o150,0
o1511,0
o1512,0
o1513,5.76860386308664
o1515,0
o1516,0
o1517,0.00326279445157878
o1518,0
o1519,3.72805095087073
o151,0
o1520,0.0250224713331751
o1521,0.0258645386346259
o1522,0
o1523,0.592984189131678
o1524,0.365674993924368
o1525,0.000490325370224347
o1526,0
o1527,0
o1528,0
o1529,0.023002310958752
o152,0
o1530,0
o1531,0
o1532,0
o1533,0
o1534,0
o1536,0
o1537,0
o1538,0
o1539,0.0575646381580028
o153,0
o1540,0
o1541,0
o1542,0.000981203976020569
o1543,0
o1544,0
o1546,0
o1547,0
o1549,0.326760659223651
o154,0
o1550,0
o1551,0.36355143524312
o1552,0
o1553,0
o1554,0.587220355152493
o1555,0
o1556,0.209274256487575
o1558,0.395265724607609
o1559,0
o155,0
o1560,0
o1561,0
o1562,0
o1563,0
o1564,0
o1566,0
o1567,0
o1568,0
o1569,0
o156,1.48182415900885
o1570,0.286211779929772
o1571,0
o1572,0
o1573,0
o1574,0
o1576,0
o1577,0
o1578,0
o1579,0.282255195791642
o157,0
o1580,0
o1581,0.0623912513563196
o1582,0
o1583,0
o1584,0.00717684446374843
o1585,0
o1586,0.00162835106274668
o1588,0
o1589,0
o158,0.000490325370224347
o1590,0
o1591,0
o1592,0
o1593,0
o1594,0
o1595,0
o1597,0.0243466796026354
o1598,0
o1599,0
o159,0
o15,0
o1600,0.0157906348841494
o1601,0
o1602,0
o1603,7.87726081203606
o1604,0
o1605,0
o1606,0
o1607,0
o1608,0.0204028745450497
o1609,0
o160,0.000981203969040782
o1610,0.0174995774262701
o1611,0
o1612,0
o1613,0
o1614,0.00448753902966593
o1615,0.0138212478229533
o1616,0
o1617,0
o1618,0
o1619,0
o161,0.00469996644402885
o1620,0.422197857946564
o1621,0
o1622,1.29164946771955
o1623,0
o1624,0
o1625,0
o1626,0
o1627,2.56000436194782
o1628,0
o1629,0.416628814825297
o162,0
o1630,0
o1631,0
o1632,0
o1633,0
o1634,2.51641777793592
o1635,0
o1636,0
o1637,0
o1638,0
