gene,logp
o1317,0.0312227600342254
o1318,0
o1319,0
o131,0
o1320,0
o1321,0.455444109097572
o1322,0
o1323,0
o1324,0
o1325,0
o1326,0
o1327,0.310503321175661
o1328,0.180402109624872
o1329,0.031358848494347
o132,0
o1330,0
o1331,0
o1332,0.00138828030156913
o1333,0.0985416048435628
o1334,0.447820888885204
o1335,0
o1336,3.11953545621191
o1337,0
o1338,0
o1339,0.303519491386296
o133,0
o1340,0
o1341,0
o1342,0
o1343,0.09038897286402
o1344,0.240265154002036
o1345,0
o1346,0
o1347,0.00202522644744157
o1348,0
o1349,0
o134,0
o1350,0
o1351,0
o1352,0
o1353,0.0135640886874859
o1354,0
o1355,0
o1356,0
o1357,10.6521451019489
o1358,0
o1359,0
o135,0
o1360,0.878272821406397
o1361,0
o1362,0.376853722921198
o1363,0
o1364,0.22386030596451
o1365,0.322172112530938
o1366,0
o1367,0
o1368,0
o1369,0
o136,0.961311882648398
o1370,0.147781235483556
o1371,0
o1372,0
o1373,0
o1374,0
o1375,0
o1376,0.101097413894116
o1377,0
o1378,0
o1379,0
o137,0
o1380,0.17905209578457
o1381,0
o1382,0
o1383,0
o1384,0
o1385,0
o1386,0.015902527859761
o1387,0
o1388,0
o1389,0
o138,0.435367678213684
o1390,0
o1391,0
o1392,1.89778376337344
o1393,0
o1394,0
o1395,0
o1396,0
o1397,0.0264848760653726
o1398,15.5330206475641
o1399,0
o139,0
o13,0
o1400,0
o1401,0
o1402,0.684328584241775
o1403,0
o1404,0
o1405,0
o1406,0.556845128911065
o1407,0
o1408,0
o1409,0
o140,2.11773755889753
o1410,0
o1411,0
o1412,0
o1413,0
o1414,0
o1415,2.95429919714425
o1416,0
o1417,0.331278932700527
o1418,0
o1419,0.991256248729246
o141,0
o1420,0
o1421,4.42590714065611
o1422,0
o1423,1.38965897019295
o1424,0
o1425,0
o1426,0.019691952079194
o1427,0
o1428,0
o1429,0.144688430954742
o142,0
o1430,0
o1431,0
o1432,0
o1433,5.58976677003793
o1434,0
o1435,0
o1436,0.490515001453202
o1437,0
o1438,0
o1439,0.375967949003557
o143,0.00737979320158804
o1440,0
o1441,0
o1442,0
o1443,0
o1444,0
o1445,0
o1446,1.59404535114563
o1447,1.74223799815456
o1448,0
o1449,0
o144,0
o1450,0
o1451,0
o1452,2.75181498756564
o1453,0
o1454,0
o1455,0
o1456,0
o1457,0
o1458,0
o1459,4.22613179186812
o145,0
o1460,0
o1461,0.0353086054437447
o1462,0
o1463,0
o1464,0
o1465,0.41193111255561
o1466,0
o1467,0
o1468,0.393319589412005
o1469,0.0283919355359464
o146,0
o1470,0
o1471,0
o1472,0
o1473,0
o1474,0.0364300016129571
o1475,7.88327847943958
o1476,7.83362887758982
o1477,0
o1478,0.00214133021551742
o1479,0
o147,0
o1480,0.00138828030156913
o1481,0
o1482,0
o1483,0
o1484,0
o1485,0
o1486,0
o1487,0.00772243852950943
o1488,0
