gene,logp
o1339,0.303428997210682
o133,0
o1340,0
o1341,0
o1342,0.446576242341369
o1343,0.09038897286402
o1344,0
o1345,0
o1346,0
o1347,0.00177049257521816
o1348,0
o1349,0
o134,0
o1350,0.000849619171191163
o1351,0
o1352,0
o1353,0
o1354,0
o1355,0
o1356,0
o1357,0
o1358,0
o1359,0
o135,0
o1360,1.69738956171244
o1361,0
o1362,0
o1363,0
o1364,0
o1365,0.322172112530938
o1366,0
o1367,0
o1368,0
o1369,0
o136,0.961310784093295
o1370,0
o1371,0
o1372,0.104407677340695
o1373,0
o1374,0
o1375,0
o1376,0.101097413894116
o1377,0
o1378,0
o1379,0
o137,0.2207713573096
o1380,0.179027056893284
o1381,0.482257230056954
o1382,0.00230462000099583
o1383,0
o1384,0
o1385,0
o1386,0
o1387,0
o1389,0
o138,0.421480400883347
o1390,0
o1391,0
o1392,0
o1393,0.0408786891230848
o1394,0
o1395,0
o1396,0
o1397,0
o1398,14.6840331665728
o1399,0
o139,0
o13,0
o1400,0
o1401,0
o1402,2.77156419775508
o1403,0
o1404,0
o1406,0
o1407,0
o1408,0.00177049257521816
o1409,0
o140,0
o1410,0
o1411,0
o1412,0
o1413,0
o1414,0
o1415,2.95428134915334
o1416,0
o1417,0
o1418,0.363408071740388
o1419,0
o141,0
o1420,0
o1421,0
o1422,0
o1423,1.55140057934327
o1424,0
o1425,0
o1426,0.0181222154986209
o1427,0
o1428,0
o1429,0.000693586810146689
o142,0
o1430,0
o1431,0
o1433,4.25449132648119
o1434,0
o1435,0
o1436,0.492431697344775
o1437,0
o1438,0
o1439,0.375969428499278
o143,0
o1440,0
o1441,0
o1442,0.0166124114505298
o1443,0
o1444,0
o1445,0
o1446,1.94402381147997
o1447,1.74220030921028
o1448,0
o1449,0
o144,0
o1450,0
o1451,0
o1452,2.79686616979854
o1453,0
o1454,0
o1455,0
o1456,0
o1457,0
o1458,0
o1459,0
o145,0
o1460,0
o1462,0
o1463,0
o1465,0.402184415613265
o1466,0
o1467,0
o1468,0
o1469,0.0283919355359464
o146,0
o1470,0
o1471,0.0326752379999096
o1472,0
o1473,0
o1474,0
o1475,0
o1476,7.83363111303928
o1477,0
o1478,0.000490325370224347
o1479,0
o147,0
o1480,0
o1481,0
o1482,0
o1483,0
o1484,0
o1485,0
o1486,0
o1487,0.00682553507400025
o1488,0.300527911785784
o1489,0.00129848356392237
o148,0
o1490,0
o1491,0
o1492,0
o1493,0
o1494,0
o1495,0
o1496,0
o1497,0.092348189358883
o1498,0
o1499,0.00109716543111909
o149,0
o14,0.0110402458665982
o1501,0
o1502,0
o1504,0.318934236513523
o1505,0.171764466686749
o1506,0
o1507,7.51388220193125
o1508,0.294134404864456
o1509,0
o150,0
o1510,0.00462143271988395
o1511,0
o1512,0
o1513,0.53841877246815
o1514,3.30803945968311
o1515,0.0599431560514814
o1516,0
o1517,0
o1518,0
o1519,0
o151,0
o1520,0
o1521,0
